"species","prop_imported","source","catch","tot","id","farmed_wild","mid","nut_score"
"Freshwater fishes nei",0,"wild",0,26.225,"Freshwater fishes nei_wild",NA,NA,NA
"Freshwater fishes nei",0,"imported",0,26.225,"Freshwater fishes nei_imported",NA,NA,NA
"Freshwater fishes nei",0,"farmed",26.225,26.225,"Freshwater fishes nei_farmed",NA,NA,NA
"Japanese carpet shell",0,"wild",0,9.89,"Japanese carpet shell_wild",NA,NA,NA
"Japanese carpet shell",0,"imported",0,9.89,"Japanese carpet shell_imported",NA,NA,NA
"Japanese carpet shell",0,"farmed",9.89,9.89,"Japanese carpet shell_farmed",NA,NA,NA
"Lumpfish(=Lumpsucker)",0,"wild",0,8.01,"Lumpfish(=Lumpsucker)_wild",NA,NA,NA
"Lumpfish(=Lumpsucker)",0,"imported",0,8.01,"Lumpfish(=Lumpsucker)_imported",NA,NA,NA
"Lumpfish(=Lumpsucker)",0,"farmed",8.01,8.01,"Lumpfish(=Lumpsucker)_farmed",NA,NA,NA
"Marine fishes nei",0,"wild",0,81,"Marine fishes nei_wild",NA,NA,NA
"Marine fishes nei",0,"imported",0,81,"Marine fishes nei_imported",NA,NA,NA
"Marine fishes nei",0,"farmed",81,81,"Marine fishes nei_farmed",NA,NA,NA
"Pacific cupped oyster",0,"wild",0,2114.0715,"Pacific cupped oyster_wild","Wild",2.2,213.933059004512
"Pacific cupped oyster",0,"imported",0,2114.0715,"Pacific cupped oyster_imported",NA,NA,NA
"Pacific cupped oyster",0,"farmed",2114.0715,2114.0715,"Pacific cupped oyster_farmed","Farmed",0.6,213.933059004512
"Roach",0,"wild",0,3.87,"Roach_wild",NA,NA,NA
"Roach",0,"imported",0,3.87,"Roach_imported",NA,NA,NA
"Roach",0,"farmed",3.87,3.87,"Roach_farmed",NA,NA,NA
"Rudd",0,"wild",0,0.75,"Rudd_wild",NA,NA,NA
"Rudd",0,"imported",0,0.75,"Rudd_imported",NA,NA,NA
"Rudd",0,"farmed",0.75,0.75,"Rudd_farmed",NA,NA,NA
"Tench",0,"wild",0,3.88,"Tench_wild",NA,NA,NA
"Tench",0,"imported",0,3.88,"Tench_imported",NA,NA,NA
"Tench",0,"farmed",3.88,3.88,"Tench_farmed",NA,NA,NA
